time_increment,realtime,machine[3].lat,machine[3].lng,machine[3].technical_data.engine_revolutions,machine[3].technical_data.fuel_consumption,machine[3].technical_data.vehicle_payload
214,22:10.0,51.3958943,8.263704518,1447.375,19.25,5335
215,22:12.0,51.39589555,8.263705981,1436.125,20.8,5335
216,22:14.0,51.39589557,8.263710543,1424.875,22.4,5835
217,22:16.0,51.39589412,8.263712366,1415.75,23.35,5835
218,22:18.0,51.39588608,8.263713737,1409.75,24.3,5835
219,22:20.0,51.39588328,8.263722907,1403.5,25.25,5835
220,22:22.0,51.39589179,8.263713645,1399.25,24.15,5835
221,22:24.0,51.39589641,8.263702524,1396,21.3,5835
222,22:26.0,51.39589738,8.263695305,1393.625,17.6,5835
223,22:28.0,51.39589169,8.263694619,1391.25,15.2,5835
224,22:30.0,51.39588503,8.263698545,1390.75,13.6,5835
225,22:32.0,51.39588128,8.26370621,1390.25,10.75,5835
226,22:34.0,51.39588136,8.263719896,1390.125,8.65,5835
227,22:36.0,51.39588314,8.263719718,1390.25,6.6,5835
228,22:38.0,51.39588655,8.263714427,1390.25,4.7,5835
229,22:40.0,51.39589264,8.263698423,1391.5,3.4,6223
230,22:42.0,51.3958935,8.263683201,1391,3.3,6223
231,22:44.0,51.39589685,8.263703951,1390.625,3.3,6223
232,22:46.0,51.39589689,8.263712147,1390.875,3.35,6223
233,22:48.0,51.3958956,8.263715104,1391.375,2.85,6223
234,22:50.0,51.39589033,8.263713204,1391,3.4,6223
235,22:52.0,51.395887,8.26370916,1391,3.95,6223
236,22:54.0,51.39588601,8.263703092,1391,5.1,6223
237,22:56.0,51.39588887,8.263703046,1392,5.65,6223
238,22:58.0,51.39589191,8.263707966,1392.875,5.7,6686
239,23:00.0,51.39589274,8.263713629,1391,5.2,6686
240,23:02.0,51.39588892,8.26371217,1390.625,5.75,6686
241,23:04.0,51.39588692,8.263706702,1391.5,5.8,6686
242,23:06.0,51.39588595,8.263692447,1392.125,6.45,6686
243,23:08.0,51.39588512,8.263712231,1391.375,7.15,6686
244,23:10.0,51.39588508,8.263706149,1391.25,9.5,6686
245,23:12.0,51.39588805,8.263703988,1390.75,12.95,6686
246,23:14.0,51.39589458,8.263704475,1391.5,16.5,6686
247,23:16.0,51.39588938,8.263704637,1392.125,15.65,7087
248,23:18.0,51.39588698,8.263706118,1391.25,16,7087
249,23:20.0,51.39588705,8.263716763,1390.75,16.8,7087
250,23:22.0,51.39589011,8.263719409,1390.375,17.6,7087
251,23:24.0,51.39589373,8.263719697,1390.25,17.3,7087
252,23:26.0,51.39589502,8.263714066,1389.75,17.45,7087
253,23:28.0,51.39589458,8.263704475,1389.625,18.1,7087
254,23:30.0,51.39588897,8.263719774,1389.5,19.3,7402
255,23:32.0,51.39588556,8.263716434,1389.125,19.35,7402
256,23:34.0,51.39588321,8.263710741,1387.5,20.05,7402
257,23:36.0,51.39588317,8.263704659,1386.25,19.45,7402
258,23:38.0,51.39587746,8.26370475,1385.75,19.5,7402
259,23:40.0,51.39587454,8.263694151,1385.75,20.7,7402
260,23:42.0,51.39587319,8.263679111,1385.25,22,7402
261,23:44.0,51.39587514,8.263637871,1385.5,22.05,7857
262,23:46.0,51.39586972,8.263610931,1386.25,22.65,7857
263,23:48.0,51.39587014,8.26359993,1387,22.7,7857
264,23:50.0,51.39587389,8.263590744,1386.625,23.35,7857
265,23:52.0,51.39587604,8.263576836,1385.25,23.45,7857
266,23:54.0,51.39587554,8.263549655,1386,23.5,7857
267,23:56.0,51.39587226,8.263482791,1385.125,22.95,7857
268,23:58.0,51.39586865,8.263445173,1384,23.5,7857
269,24:00.0,51.39586976,8.263437188,1385.125,23.6,7857
270,24:02.0,51.3958729,8.263432593,1385.625,23,7857
271,24:04.0,51.39587574,8.263431027,1385.5,23.6,7857
272,24:06.0,51.3958771,8.263425784,1385.75,22.9,7857
273,24:08.0,51.39587237,8.263406544,1384.625,21.5,7857
274,24:10.0,51.39587269,8.263399138,1382.625,18.7,7857
275,24:12.0,51.39587645,8.263392994,1381.625,17.2,7857
276,24:14.0,51.39587639,8.263382349,1381.5,15.75,7857
277,24:16.0,51.39587155,8.26337026,1381.5,13.65,7857
278,24:18.0,51.39587151,8.263362656,1382.125,11.55,7857
279,24:20.0,51.39587529,8.263359555,1382.75,10.1,7857
280,24:22.0,51.39587794,8.263354248,1383,8.1,7857
281,24:24.0,51.39587876,8.263346057,1383.375,7.4,7857
282,24:26.0,51.39587501,8.263315455,1383.875,7.1,7857
283,24:28.0,51.39587022,8.263297108,1383.875,7.2,7857
284,24:30.0,51.3958701,8.263289679,1383.25,7.85,7857
285,24:32.0,51.39587384,8.263280494,1383.875,7.95,7857
286,24:34.0,51.39587467,8.263270685,1384,8,7857
287,24:36.0,51.39587063,8.263246615,1384.375,8.05,7857
288,24:38.0,51.39587071,8.26323644,1384.625,8.05,7857
289,24:40.0,51.39587631,8.263218099,1385.5,8.65,7857
290,24:42.0,51.39587694,8.263204702,1384.875,9.8,7857
291,24:44.0,51.39587297,8.263169441,1382,10.45,7857
292,24:46.0,51.39587397,8.263161989,1381.625,11.15,7857
293,24:48.0,51.39587687,8.263157257,1381.625,11.85,7857
294,24:50.0,51.39588161,8.26315414,1380.5,11.4,7857
295,24:52.0,51.39588532,8.263144476,1381.125,10.35,7857
296,24:54.0,51.39588618,8.263123649,1382.375,9.8,7857
297,24:56.0,51.39588614,8.263117566,1383,9.2,7857
298,24:58.0,51.39588328,8.263117612,1383.75,9.8,7857
299,25:00.0,51.3958861,8.263111484,1383.5,9.8,7857
300,25:02.0,51.39588742,8.263101214,1382.625,9.75,7857
301,25:04.0,51.39588596,8.263088674,1382.75,10.4,7857
302,25:06.0,51.39588209,8.263078089,1382.375,12.1,7857
303,25:08.0,51.39588586,8.263073467,1382,13.45,7857
304,25:10.0,51.39589157,8.26305583,1382.75,13.6,7857
305,25:12.0,51.39589196,8.263047237,1383.375,13.85,7857
306,25:14.0,51.39589042,8.263041456,1383,15.25,7857
307,25:16.0,51.39588277,8.263035495,1382.75,17.85,7857
308,25:18.0,51.39588272,8.263027892,1382.75,19.25,7857
309,25:20.0,51.39588415,8.26301189,1382.125,20.8,7857
310,25:22.0,51.39589308,8.262961837,1381,22.4,7857
311,25:24.0,51.39589225,8.262948697,1380.875,23.35,7857
312,25:26.0,51.39588787,8.2629396,1380.875,24.3,7857
313,25:28.0,51.395885,8.262936604,1381,25.25,7857
314,25:30.0,51.39588321,8.262927818,1380.875,24.15,7857
315,25:32.0,51.39588489,8.262918356,1381.125,21.3,7857
316,25:34.0,51.39588961,8.262913718,1381.25,17.6,7857
